"id","date","score"
24572,17135,87
24930,17070,90
24936,16961,77
25048,17114,81
25151,16899,92
25153,16899,98
25160,16899,100
25161,16899,98
25162,16899,98
25163,16899,100
25167,17143,92
25301,17156,81
25374,16987,89
25375,16952,98
25404,17031,83
25572,17052,80
25651,17042,100
26146,17112,100
26149,16983,80
26341,16954,98
26343,17028,94
26348,17080,81
27053,17044,94
27055,17011,92
27056,17078,82
27306,16939,94
27350,17070,78
27377,17039,87
27472,16904,85
27680,16867,72
27737,17016,86
27790,16996,96
27791,16983,96
27793,17071,83
27799,16993,87
27851,17077,96
27852,17095,93
27854,17044,98
27874,16808,98
27947,16995,92
27949,16853,80
27964,16906,90
27986,17092,94
28035,17021,89
28044,17151,98
28169,17141,90
28193,16954,87
28206,17002,72
28318,17014,85
28468,16834,79
28976,16993,100
29246,16923,86
29304,16893,81
29429,16988,80
29610,16848,67
29948,16969,87
29950,16973,86
29956,16953,88
30001,17123,96
30156,17053,100
30478,16874,96
30496,17001,90
31568,16854,98
32170,17029,90
32200,16953,81
32556,16804,96
32570,16876,90
32578,16952,94
32579,17007,96
32586,17050,96
32625,16917,94
32671,16981,84
32682,16959,94
32683,16959,94
32684,16959,92
32693,16967,92
32698,16995,88
32702,17065,81
32729,16930,86
